index,cafe_name,city,province,phone_number,cost,work_start,work_end,cafe_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
296, ابتدا ,tehran,ولیعصر,02109354381886,2,12:00:00,23:00:00,ولیعصر، بالاتر از میدان ولیعصر، کوچه فرخی ، پلاک ۳۵,False,False,False,True,True,False,False,True,0,0,0,0,0,35.71395401810486,51.40788340818764
297, خانه اطلسی ,tehran,میدان فلسطین,02166975237,2,12:00:00,23:30:00,میدان فلسطین،خیابان طالقانی غرب،خیابان سرپرست بن بست پارس,False,False,False,False,True,True,False,True,0,0,0,0,0,35.70528839966938,51.40243291854858
298, مُ ,tehran,خواجه عبدالله,02122861934,2,07:30:00,23:00:00,خواجه عبدالله،روبروی کوچه13،مجتمع اختر,False,False,True,False,False,False,False,True,0,0,0,0,0,35.74391774079155,51.45799891211352
299, بوتیک هتل نظامیه ,tehran,ميدان بهارستان,02175904,2,09:00:00,23:00:00,ميدان بهارستان،خيابان نظاميه،كوچه اصالت،بنبست پنجم,False,False,False,False,True,False,False,True,0,0,0,0,0,35.68947648839609,51.43027022480965
300, دیوا ,tehran,لواسان,02126547133,2,08:00:00,23:30:00,لواسان، بلوار امام خمینی، نبش بوستان اول,False,False,False,False,True,False,False,True,0,0,0,0,0,35.81773377280714,51.61172434687614
301, توشات ,tehran,بلوارکشاورز,02188967962,2,10:00:00,23:00:00,بلوارکشاورز، خیابان قدس، نرسیده‌ به‌ ایتالیا، کوچه‌ اَمیرشاهی، پلاک 7,False,False,False,True,True,False,False,True,0,0,0,0,0,35.70698724752696,51.3963308930397
302, عمارت شمسا ,tehran,میدان انقلاب,02109309909890,2,10:00:00,22:00:00,میدان انقلاب،کارگرشمالی،کوچه ادوارد براون، پلاک 17,False,False,False,False,True,False,False,True,0,0,0,0,0,35.70292519853338,51.3920259475708
303, کتاب جایی دیگر ,tehran,شریعتی,02122603364,2,09:00:00,22:00:00,شریعتی،جنب مترو قلهک،پلاک ۱۵۰۰,False,False,False,False,True,False,False,True,0,0,0,0,0,35.77275476231787,51.43790109615565
304, جاست فرش ,tehran,میدان آرژانتین,02188887222,2,06:30:00,22:30:00,میدان آرژانتین، ابتدای عماد مغینیه، مجتمع تجاری بهاران,False,True,True,False,False,False,False,True,0,0,0,0,0,35.73743817076628,51.41481472673556
305, تهرون کندوان ,tehran,میدان فردوسی,02166737146,2,08:00:00,23:00:00,میدان فردوسی ،خیابان انقلاب ،روبروی استاد نجات الهی (ویلا) کوچه کندوان نبش مهرانی پلاک ۱۹,False,False,False,True,True,False,False,True,4,4,5,4,0,35.70058316442784,51.41596801578998
306, میتو ,tehran,بلوار میرداماد,02126705268,2,12:00:00,23:00:00,بلوار میرداماد،میدان مادر،خیابان شاه نظری،پاساژ محسنی،طبقه دوم,True,False,True,True,True,False,True,True,5,4,4,4,0,35.75828845247592,51.4422033727169
307, شربت خانه ,tehran,بازار بزرگ ایران مال,02109100333537,2,09:00:00,23:00:00,بازار بزرگ ایران مال،طبقه G2,False,False,False,False,False,False,True,True,0,0,0,0,0,35.75386816335608,51.19101610424609
308, بورکا ,tehran,یوسف آباد,02188028851,2,08:30:00,23:30:00,یوسف آباد،جهان آرا ، بین کوچه ۱۶ و ۱۸,False,False,False,False,False,False,False,True,0,0,0,0,0,35.72852983174415,51.39820335406629
309, وانیا ,tehran,خیابان‌شریعتی‌,02188430913,2,09:00:00,23:00:00,خیابان‌شریعتی‌،خیابان‌ملک‌،پلاک‌۲۵,False,False,False,False,True,False,False,True,0,0,0,0,0,35.71868163453833,51.43643327057361
310, کارنو ,tehran,سعادت آباد؛خیابان سرو غربی؛خیابان بخشایش خیابان نوزده شمالی؛برج عرفان؛طبقه همکف,02172487,2,11:30:00,00:00:00,سعادت آباد؛خیابان سرو غربی؛خیابان بخشایش خیابان نوزده شمالی؛برج عرفان؛طبقه همکف,False,False,True,False,True,False,False,True,0,0,0,0,0,35.7751573689088,51.36468887329101
311, اینترنی (ولنجک) ,tehran,ولنجک‌,02109905776910,2,12:00:00,00:00:00,ولنجک‌، خیابان چهاردهم‌، پاساژ توچال‌، طبقه اول,True,False,False,True,True,False,True,True,3,3,4,2,0,35.80628506149055,51.4013198018074
312, سم بی سم ,tehran,نیاوران,02126854627,2,08:30:00,23:00:00,نیاوران،بعد از سه راه یاسر به سمت تجریش،عمارت سین هشتم،پلاک۳۱۱,False,False,False,False,True,False,False,True,0,0,0,0,0,35.81176220390186,51.44803047180176
313, سرای ارغوان ,tehran,خیابان پیروزی,02177401340,2,10:30:00,23:00:00,خیابان پیروزی، خیابان اول نیروی هوایی، پلاک3/2,False,False,False,True,False,False,False,True,0,0,0,0,0,35.69354246323728,51.48011200621715
314, سین (کالج) ,tehran,چهارراه کالج,02188934319,2,07:00:00,11:30:00,چهارراه کالج،تقاطع خیابان حافظ و انقلاب،پلاک717,False,False,True,True,False,False,False,True,4,4,4,4,0,35.70120066022924,51.41274848811932
315, لوتوس ,tehran,خیابان باهنر,02126126906,2,12:00:00,00:00:00,خیابان باهنر، روبروی جماران، طبقه 1-,False,False,True,False,False,False,False,True,0,0,0,0,0,35.81196886934786,51.45896770974895
316, پگاه ,tehran,خیابان انقلاب,02109107898308,2,09:00:00,00:00:00,خیابان انقلاب،خیابان خارک،بن بست داوری پلاک ۳,False,False,False,False,False,False,False,True,0,0,0,0,0,35.69950387793855,51.40986867249012
317, داج ,tehran,اشرفی اصفهانی شمال.بعد از پل حکیم.مجتمع تجاری هامون.پلاک51,02144285411,2,08:00:00,23:00:00,اشرفی اصفهانی شمال.بعد از پل حکیم.مجتمع تجاری هامون.پلاک51,False,False,False,False,False,False,False,True,0,0,0,0,0,35.74449641903152,51.33287519216537
318, نان استاپ ,tehran,ونک,02188047538,2,09:00:00,00:00:00,ونک، میدان شیخ بهایی، مرکز خرید سئول، پلاک ۱,False,False,False,True,True,False,False,True,4,4,4,3,0,35.76547085655349,51.39528349041939
319, خانه نفیسا ,tehran,شهرک غرب,02126767504,2,10:00:00,22:00:00,شهرک غرب،بلوار فرحزادی،نبش خیابان امام صادق،پلاک2,False,False,False,True,False,False,False,True,0,0,0,0,0,35.77456714734337,51.35272393976594
320, واحه ,tehran,کریمخان,02188314971,2,08:00:00,23:30:00,کریمخان،خیابان ایرانشهر،کوچه نوشهر،پلاک۳,False,False,False,True,False,False,False,True,0,0,0,0,0,35.71193221331825,51.42177432775497
321, کلینیک ,tehran,چهارراه سرسبز,02177800716,2,08:00:00,00:00:00,چهارراه سرسبز،آیت شمالی،نبش زمردشرقی،پلاک 901,False,False,True,False,True,False,False,True,5,2,1,4,0,35.73834408792226,51.49539291858673
322, خانه پهلوان رزاز ,tehran,خیابان  امیرکبیر,02136833892,2,08:00:00,23:00:00,خیابان  امیرکبیر، کوچه جاویدی، پلاک۳۸,False,False,False,False,True,False,True,True,0,0,0,0,0,35.68058785522275,51.43306776881218
323, پرا ,tehran,خیابان فرشته,02126353205,2,09:00:00,22:30:00,خیابان فرشته، بوتیک مال ملل,False,False,True,False,True,False,False,True,0,0,0,0,0,35.79136891855534,51.42079934477806
324, اُشو ,tehran,میدان تجریش ابتدای خیابان ولیعصر جنب بانک کشاورزی,02109351138068,2,10:00:00,00:00:00,میدان تجریش ابتدای خیابان ولیعصر جنب بانک کشاورزی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.80646982657941,51.42371287744299
325, طهرون (ایرانشهر) ,tehran,ایرانشهر,02188315233,2,08:00:00,00:00:00,ایرانشهر، نبش خیابان یگانه,False,False,False,True,False,False,False,True,0,0,0,0,0,35.71393581174379,51.41918867826462
326, حوض کاشی ,tehran,خیابان ایرانشهر,02188491389,2,09:00:00,00:00:00,خیابان ایرانشهر، خیابان بهشهر، پلاک ۹,False,False,False,True,True,False,False,True,0,0,0,0,0,35.71114600495848,51.42126202583313
327, سینان ,tehran,گیشا,02188230930,2,09:30:00,23:30:00,گیشا ، انتهای خیابان پیروزی شرقی ، ضلع شمالی بوستان گفتگو ، مجموعه پذیرایی گفتگو,False,False,False,False,True,False,False,True,1,1,1,1,0,35.73747540839233,51.38201996684074
328, رد (بال تی) ,tehran,شهرک غرب,0219017554083,2,11:00:00,23:00:00,شهرک غرب، بلوار دادمان، خیابان درختی، انتهای بلوار سپهر، کنارگذر یادگار، پلاک ۲۰۸/۱,False,False,False,False,False,False,False,True,0,0,0,0,0,35.76610635926195,51.34730815887451
329, د وان (سعادت آباد) ,tehran,سعادت آباد,02188581309,2,13:00:00,00:00:00,سعادت آباد، پایین تر از میدان کاج، کوچه حق طلب غربی، پلاک130 طبقه دوم,False,False,True,False,False,False,False,True,0,0,0,0,0,35.77485582039433,51.37766965031828
330, لانتی ,tehran,"‎نياوران, ميدان نياوران پلاك ١٢",02122288140,2,12:00:00,00:00:00,"‎نياوران, ميدان نياوران پلاك ١٢",False,False,True,False,False,False,False,True,0,0,0,0,0,35.81125988232096,51.47008903742932
331, دیبا (هتل کوروش) ,tehran,خیابان میرداماد,02122903993,2,08:00:00,00:00:00,خیابان میرداماد،خیابان حصاری،نبش کوچه سوم،هتل کوروش,False,False,True,False,False,False,False,True,0,0,0,0,0,35.75789448973632,51.43963918089866
332, دوبار (پارک پرنس) ,tehran,ميدان ونک,02188611766,2,08:00:00,22:00:00,ميدان ونک،‌ خیابان ملاصدرا،‌ خروجی خیابان ملاصدرا به سمت بزرگراه كردستان,False,False,False,False,False,False,False,True,0,0,0,0,0,35.75834504364847,51.4026153087616
333, دوبار(برج آفتاب) ,tehran,ولیعصر,02188032720,2,08:00:00,22:00:00,ولیعصر، خیابان خدامی، خیابان آفتاب، کوچه ماهتاب، حیاط تجاری برج آفتاب,False,False,True,False,False,False,False,True,0,0,0,0,0,35.76694643381725,51.3992840051651
334, آلسو ,tehran,خیابان حافظ,02188895505,2,08:00:00,23:00:00,خیابان حافظ،روبروی مدرسه البرز،نبش بن بست حیات,False,False,False,True,False,False,False,True,0,0,0,0,0,35.6931524934329,51.4101801628565
335, حوالی دلبر ,tehran,خیابان ولیعصر,02122712270,2,12:00:00,00:00:00,خیابان ولیعصر، کوچه کیارستمی، بن بست دلبر، پلاک ۹,False,False,False,True,False,False,False,True,1,1,4,1,0,35.80303622845923,51.42246097326279
336, سربن ,tehran,پاسداران,02122560556,2,06:30:00,00:00:00,پاسداران، نبش گلستان دوم، (فلاح زاده),False,False,True,False,True,False,False,True,0,0,0,0,0,35.77064178595471,51.46039545536041
337, هشت بهشت ,tehran,ستارخان,02144201855,2,11:00:00,00:00:00,ستارخان، فلکه اول صادقیه، پاساژ پردیس، طبقه دوم,False,False,True,True,True,True,False,True,0,0,0,0,0,35.72148260987606,51.34047523140907
338, بال (ایران مال) ,tehran,ایران مال,02191070873,2,08:30:00,23:00:00,ایران مال،طبقه اول,False,False,False,False,True,False,True,True,3,3,4,3,0,35.75286421943905,51.19246959686279
339, بال (جردن) ,tehran,جردن,02191070635,2,08:00:00,23:30:00,جردن، نبش اسفندیار، ساختمان اکسین، طبقه دوم، فروشگاه جین وست,False,False,True,False,False,False,False,True,0,0,0,0,0,35.77090184696738,51.42067462205887
340, پت ,tehran,شهرك غرب,02188578403,2,10:00:00,21:00:00,شهرك غرب،بلواردادمان،محوطه باز بيمارستان دامپزشكي پايتخت,False,False,False,False,True,False,False,True,0,0,0,0,0,35.76473849867646,51.35232657194137
341, ماتسو لانژ ,tehran,الهیه,02122054643,2,08:00:00,00:00:00,الهیه، مریم شرقی، پلاک ۶۷,False,False,True,True,True,False,False,True,0,0,0,0,0,35.78556508286638,51.42740428447723
342, لامور ,tehran,شهرك غرب,02126359045,2,10:30:00,00:00:00,"شهرك غرب ، روبروى اريكه ايرانيان
خيابان حافظى پلاك ٥٠",False,False,True,False,False,False,True,True,0,0,0,0,0,35.77155145172313,51.35736912488937
343, رومرون ,tehran,جردن,02188887001,2,12:00:00,00:00:00,جردن، بلوار آرش غربی(کنار گذر)٫ پلاک۲۴,False,False,True,False,False,False,True,True,0,0,0,0,0,35.77016409844799,51.42218336462974
344, پستو (سعادت آباد) ,tehran,سعادت آباد,02140227221,2,09:00:00,22:30:00,سعادت آباد،میدان کاج،ابتدای سرو شرقی،مجتمع تجاری مارکیز طبقه R,False,False,False,False,True,False,True,True,4,4,5,4,0,35.78216417547333,51.37672126293182
345, پایپار ,tehran,غرب به شرق شیخ فضل الله نوری,02144675059,2,10:00:00,00:00:00,غرب به شرق شیخ فضل الله نوری،بعد از ستاری،خروجی شهرک آپادانا،شمال شرقی میدان برادران محمدی,True,False,False,True,True,True,True,True,0,0,0,0,0,35.71165671459563,51.33358061313629
346, برد گیم عمارت فردوس ,tehran,باغ فردوس,,2,04:00:00,23:30:00,باغ فردوس، خیابان عارفی نسب،کوچه دلبر پلاک ۴,False,False,True,False,False,False,False,True,0,0,0,0,0,35.80256526172258,51.42116278409958
347, گالری ریشه29 ,tehran,خیابان الهیه,02109912900031,2,08:00:00,22:30:00,خیابان الهیه، خیابان آقا‌بزرگی، پلاک۳۱,False,False,False,True,True,False,False,True,0,0,0,0,0,35.78928946866501,51.42375256090283
348, رزت ,tehran,سعادت آباد,02122062233,2,09:30:00,23:00:00,سعادت آباد ، علامه شمالی ، هجدهم غربی ، پلاک ۵۵,False,True,True,False,True,False,False,True,0,0,0,0,0,35.77911998972696,51.37684464454651
349, چای کنار ,tehran,فاطمی,02188011081,2,08:00:00,23:00:00,فاطمی، خیابانِ کاج، نبشِ کوچه‌ شش,False,False,False,True,True,False,False,True,1,1,1,2,0,35.72090119102393,51.40075117349624
350, گارنت ,tehran,اندرزگو,02149927,2,12:00:00,00:00:00,اندرزگو، حدفاصل کاوه و قيطريه، نبش خيابان مهر محمدی جنوبی، برج ديانا، طبقات١٠و١١,False,False,True,False,False,False,False,True,0,0,0,0,0,35.7965990787802,51.44482120871544
351, باران ,tehran,خیابان نیاوران,02122694453,2,10:00:00,00:00:00,خیابان نیاوران، خیابان مقدسی( مژده)،خیابان لاریجانی،نبش ظهیرالدوله,False,False,True,False,True,False,False,True,0,0,0,0,0,35.81241972800554,51.43328503209199
352, سنترال ,tehran,سهروردي جنوبي.خيابان برادران نوبخت . جنب اتو آرمه .پلاك ١٧,02188317114,2,08:30:00,23:00:00,سهروردي جنوبي.خيابان برادران نوبخت . جنب اتو آرمه .پلاك ١٧,False,False,True,True,True,False,False,True,0,0,0,0,0,35.72142163731169,51.43330380320549
353, لیار ,tehran,نیاوران,,2,10:00:00,19:00:00,نیاوران، جماران، خیابان امیدوار، کوچه هفتم، پلاک 5,False,False,False,False,False,False,False,True,0,0,0,0,0,35.81403952245789,51.46189749240875
354, سرامیک موزه ,tehran,شمال کاخ نیاوران,02122809095,2,10:00:00,19:00:00,"شمال کاخ نیاوران، اول کاشانک، انتهای خیابان جهانشاهی، خیابان احمد جبلی، پلاک ۲۳
‌",False,False,False,True,False,False,False,True,0,0,0,0,0,35.81560609264721,51.47079169750213
355, تئاتر ,tehran,خیابان جمهوری,02109126031037,2,10:30:00,22:30:00,خیابان جمهوری،خیابان رازی،کوچه پرتویی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.6988651207786,51.40611290931702
356, گرین بین ,tehran,خیابان انقلاب بعد از میدان فردوسی,02188342126,2,09:00:00,23:00:00,خیابان انقلاب بعد از میدان فردوسی،حد فاصل رامسر و موسوی کوچه اذرنوش,False,False,False,False,False,False,False,True,0,0,0,0,0,35.70183994791968,51.42247026650052
357, پانتون ,tehran,خیابان ونک,02188209035,2,12:00:00,23:30:00,خیابان ونک،خیابان کار و تجارت،پلاک ۳۵,False,False,False,False,False,False,False,True,0,0,0,0,0,35.75986863700966,51.40518888831138
358, ذهن ,tehran,ولیعصر,02166469069,2,07:00:00,23:30:00,ولیعصر، روبه‌روی تئاتر شهر،کوچه پشن،پلاک۱۲,False,False,False,False,False,True,False,True,0,0,0,0,0,35.69973422133679,51.40422999858856
359, لورنزو ,tehran,ولنجک,02122434867,2,12:00:00,00:00:00,ولنجک ، خیابان امیر آبادی ، نبش گلستان سوم,True,False,False,True,True,False,False,True,2,2,4,2,0,35.80940216303937,51.39685928821564
360, دایمند ,tehran,خیابان نجات اللهی (ویلا),02188890196,2,08:00:00,00:00:00,خیابان نجات اللهی (ویلا) ، خیابان فلاح پور، شماره۳۳,False,False,True,False,True,False,False,True,0,0,0,0,0,35.70348714579687,51.41622751951218
361, هتریک ,tehran,یوسف آباد,02188334818,2,12:00:00,00:00:00,"یوسف آباد ، میدان سلماس ، تقاطع فتحی شقاقی و
بیستون پلاک 32",False,False,True,False,False,False,False,True,0,0,0,0,0,35.72384090575608,51.40504404902458
362, فکرکده (اُپال) ,tehran,سعادت آباد,02122386782,2,10:30:00,23:00:00,سعادت آباد،بلوار کوهستان،مجتمع تجاری اُپال،طبقه4,False,False,False,False,False,False,False,True,0,0,0,0,0,35.7770592774627,51.35170966386795
363, میستری باکس ,tehran,حکیمیه,02109375250154,2,12:00:00,00:00:00,حکیمیه،بلوار بهار،نبش زهدی،پلاک14، طبقه2,False,False,False,False,False,False,False,True,0,0,0,0,0,35.74617810407876,51.57179161906242
364, پل آرت ,tehran,فلسطين شمالي,02188963222,2,12:00:00,00:00:00,فلسطين شمالي،خيابان فيروز دهقان پلاك ٣,False,False,False,True,True,False,False,True,0,0,0,0,0,35.71393592357713,51.40439840764618
365, مون لایت لانژ ,tehran,حکیمیه,,2,12:00:00,00:00:00,حکیمیه،بلوار بهار، خیابان بهشت، بهار ۱، پلاک ۳۶,False,False,True,False,False,False,False,True,0,0,0,0,0,35.7417664423201,51.59195142457314
366, عرش ,tehran,شریعتی,02109354963429,2,09:00:00,22:30:00,شریعتی،تقاطع طالقانی،ابتدای خواجه نصیر,False,False,False,False,False,False,False,True,0,0,0,0,0,35.70683914428246,51.43445983529091
367, رویال رز ,tehran,نياوران,02109912714132,2,09:00:00,00:00:00,نياوران، خیابان محمودی ۳ ، پلاک ۷,False,False,False,True,True,False,False,True,0,0,0,0,0,35.81456914735483,51.44317835569382
368, گالری راوی ,tehran,اقدسیه,02126454881,2,09:00:00,23:30:00,اقدسیه،خیابان‌فیروزبخش،خیابان‌باستان،بعداز تقاطع اول،کوچه دستان ،پلاک۹,False,False,True,True,True,False,False,True,0,0,0,0,0,35.80536491671174,51.47944718599319
369, شار لانژ ,tehran,میدان آرژانتین,02188878510,2,16:00:00,00:00:00,میدان آرژانتین، انتهای خیابان الوند، خیابان اسفراین، نبش اهورا مزدا، طبقه آخر هتل اسکان الوند,False,False,False,False,True,False,True,True,0,0,0,0,0,35.74394564584963,51.41437277197838
370, باغ بارمان ,tehran,خیابان بزرگمهر,02166485800,2,08:00:00,00:00:00,خیابان بزرگمهر، بین سرپرست و فریمان، پلاک ۵۵,False,False,False,True,True,False,False,True,0,0,0,0,0,35.70366357028355,51.4018052816391
371, مایا ,tehran,میدان انقلاب,02188963232,2,08:00:00,23:30:00,میدان انقلاب،خیابان کارگرشمالی،نرسیده به بلوارکشاورزپلاک1555,False,False,False,True,False,False,False,True,0,0,0,0,0,35.70704387516535,51.39043003320694
372, شون برون ,tehran,ايران مال,02147673515,2,11:00:00,00:00:00,ايران مال ، جنب آبنماى موزيكال,False,False,False,False,False,False,True,True,2,2,2,1,0,35.75310583640304,51.19199752807617
373, آموره ,tehran,خیابان فردوسي,02166749574,2,09:00:00,23:00:00,خیابان فردوسي، نرسیده به میدان فردوسی، کوچه ضرابي پلاک4,False,False,False,True,False,False,False,True,0,0,0,0,0,35.70052272041425,51.41902171075344
374, اُبژه ,tehran,بزرگراه کردستان,02188042079,2,09:00:00,23:00:00,بزرگراه کردستان،خیابان زاینده رود غربی، پلاک ۱ (مجتمع پارک پرنس)، طبقه همکف، واحد۱۴,False,False,True,False,False,False,False,True,0,0,0,0,0,35.75828845247592,51.4020574092865
375, پنسو ,tehran,بلوار کشاورز,02186126182,2,08:00:00,23:00:00,بلوار کشاورز، نبش خیابان 16 آذر,False,False,False,False,False,False,False,True,0,0,0,0,0,35.70743843431351,51.39141887856078
376, توسکافه ,tehran,اندرزگو,02122242450,2,08:30:00,00:00:00,اندرزگو،سلیمی جنوبی،نبش نعمتی،پلاک ۷۰,False,False,True,False,False,False,False,True,0,0,0,0,0,35.80012429265502,51.45242650245837
377, خانه پاپریکا ,tehran,خیابان انقلاب,02188808871,2,09:00:00,22:00:00,"خیابان انقلاب، خیابان نجات‌اللهی(ویلا)
کوچه محمدی، نبش کوچه افشار، پلاک ۹",False,False,False,False,True,False,False,True,4,4,5,4,0,35.7044411402207,51.41672238707542
378, مارژولن ,tehran,ديباجي جنوبي,02126316300,2,08:30:00,22:30:00,ديباجي جنوبي، نبش كوچه رحيمي پلاك ٣,False,False,False,False,True,False,False,True,0,0,0,0,0,35.78342887859551,51.45976727349896
379, دل پیانو ,tehran,پل  پارک وی,02122381091,2,12:00:00,00:00:00,پل  پارک وی،چمران جنوب خروجی هتل اوین،خیابان شهید سوری،نرسیده به درب ورودی آتی ساز،کوچه بهزاد،پلاک20,False,False,True,False,False,False,False,True,0,0,0,0,0,35.7852343548173,51.38853404670954
380, نوول ,tehran,ابتداى لشگرى,02109214197883,2,07:30:00,21:00:00,ابتداى لشگرى،بين بيمه ٢ و ٣،كارخانه نوآورى آزادى,False,False,False,False,False,False,True,True,0,0,0,0,0,35.70040401041638,51.31940245628357
381, ریون ,tehran,سعادت آباد,02122112837,2,11:00:00,00:00:00,سعادت آباد،میدان بهرود،خیابان عابدی،نبش کوچه سی ششم پلاک ۱۷,False,False,False,False,True,False,False,True,0,0,0,0,0,35.79451815152497,51.3583293557167
382, ماهد ,tehran,شهرک غرب بلوار درختی خ حافظی نرسیده به یادگار امام پلاک١۴۵,02122383766,2,12:00:00,00:00:00,شهرک غرب بلوار درختی خ حافظی نرسیده به یادگار امام پلاک١۴۵,False,False,False,True,False,True,False,True,0,0,0,0,0,35.7701008996259,51.34835171482828
383, بلوما ,tehran,خیابان ولیعصر,02122425052,2,08:00:00,00:00:00,خیابان ولیعصر، خیابان زعفرانیه، موزه تماشاگه زمان,False,False,False,False,True,False,False,True,4,5,3,3,0,35.8053812314283,51.41904920339584
384, دم ,tehran,خیابان نلسون ماندلا,02126208426,2,08:00:00,23:30:00,خیابان نلسون ماندلا،کوچه عاطفی شرقی، پلاک۱۸,False,True,False,False,False,False,False,True,0,0,0,0,0,35.77171902059818,51.42349228262901
385, ویونا (سهروردی) ,tehran,خیابان سهروردی شمالی,02188524461,2,09:00:00,23:00:00,خیابان سهروردی شمالی،نبش خیاابان توپچی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.73704106507348,51.44287526607513
386, عمارت دیباچه ,tehran,بلوار کشاورز,02109309045190,2,09:00:00,00:00:00,بلوار کشاورز،خیابان نادری تقاطع ایتالیا,False,False,True,True,True,False,False,True,3,3,3,3,0,35.70745070023469,51.39959991286006
387, مورالانژ ,tehran,بلوار فردوس شرق,02144000050,2,12:00:00,00:00:00,بلوار فردوس شرق، پلاک 290,False,False,False,False,False,False,False,True,4,5,4,4,0,35.7232170420303,51.3176429271698
388, مانستر ,tehran,میدان تجریش,,2,07:00:00,00:00:00,میدان تجریش، جنب شمرون کباب,False,False,False,False,False,False,False,True,0,0,0,0,0,35.80690608206566,51.42985260630562
389, کتاب من ,tehran,اتوبان صدرشرق,02122557274,2,09:30:00,21:30:00,اتوبان صدرشرق، خروجی منظریه خیابان‌منظریه طبقه فوقانی شهرکتاب منظریه,False,False,False,False,True,False,False,True,0,0,0,0,0,35.78997755964559,51.45730555057525
390, زی (ارتش) ,tehran,بزرگراه ارتش,02122491360,2,12:00:00,00:00:00,بزرگراه ارتش،برج های آتی ساز،برج نرگس،واحد ۶,False,False,True,False,True,False,True,True,0,0,0,0,0,35.79684763335809,51.52519293129444
391, هاگ ,tehran,نیاوران,021261212820,2,10:00:00,23:00:00,نیاوران، خیابان امیدوار، نبش کوچه پانزدهم,False,False,False,True,True,False,False,True,0,0,0,0,0,35.81662888698124,51.46267265081405
392, یارد ,tehran,مجتمع آ.اس.پ,02188614998,2,09:00:00,23:00:00,مجتمع آ.اس.پ، واحد تجاری40,False,False,True,False,False,False,False,True,0,0,0,0,0,35.74430211889613,51.39813147914535
393, نشین ,tehran,خیابان انقلاب,02166479180,2,10:00:00,22:00:00,خیابان انقلاب،خیابان دانشگاه،خیابان وحید نظری،پلاک٦٨,False,False,True,True,False,False,False,True,0,0,0,0,0,35.69914937651489,51.39711409807205
394, گریفین ,tehran,خیابان کریمخان زند,02188816512,2,07:30:00,23:00:00,خیابان کریمخان زند، خیابان خردمند جنوبی، پلاک ۷۱,False,False,False,False,False,False,False,True,0,0,0,0,0,35.71514774655915,51.42190977931022
395, کارشو ,tehran,ایران مال,,2,09:00:00,21:00:00,ایران مال،طبقه G1,False,False,False,False,False,False,True,True,0,0,0,0,0,35.75453491188495,51.19274672868744
396, لایت ,tehran,خیابون سی‌تیر,,2,08:00:00,21:00:00,خیابون سی‌تیر، جنب موزه آبگینه، پلاک ۵۱,False,False,False,False,True,False,False,True,0,0,0,0,0,35.6931710798015,51.41439288854599
397, آوانا ,tehran,نازی آباد,02155357800,2,11:00:00,23:00:00,نازی آباد، بازار دوم، خیابان نیکنام شمالی،پلاک46,False,False,True,False,True,False,False,True,0,0,0,0,0,35.63924270411944,51.40175968408584
398, روم رون ,tehran,جردن,02188887001,2,12:00:00,00:00:00,جردن، بلوار آرش غربی٫ پلاک۲۴,False,False,False,True,True,False,True,True,0,0,0,0,0,35.77016627470737,51.42218470573425
399, زهیرا لانژ ,tehran,تهرانپارس,02177727065,2,11:00:00,00:00:00,تهرانپارس،پايين تر از فلكه اول،خيابان شهيد حسيني(بهار)،پلاك ٧١,False,False,False,False,True,False,True,True,0,0,0,0,0,35.72558181900517,51.51807233691215
400, روبی ,tehran,میدان نیاوران,02191301725,2,12:00:00,00:00:00,میدان نیاوران،خیابان باهنر،پلاک ۹۹,True,False,True,False,True,False,False,True,5,3,3,4,0,35.81175894122098,51.46506518125534
401, ترند ,tehran,دریاچه چیتگر,02140447210,3,08:00:00,00:00:00,دریاچه چیتگر، بام لند، بلوک c,False,False,False,False,True,False,True,True,5,5,4,4,0,35.74279837089897,51.22211873531341
402, ایمپرسو ,tehran,بالاتر از میدان نیاوران,02122822755,2,07:00:00,22:00:00,بالاتر از میدان نیاوران، خیابان جهانشاهی پلاک15,False,False,False,False,True,False,False,True,0,0,0,0,0,35.8136904248549,51.47166341543197
403, نیکی لانژ ,tehran,"اندرزگو, سلیمانی غربی, خیابان واعظی, روبروی خیابان طوبایی",02109202193061,2,12:00:00,23:30:00,"اندرزگو, سلیمانی غربی, خیابان واعظی, روبروی خیابان طوبایی",False,False,True,False,True,False,False,True,0,0,0,0,0,35.79944517253026,51.43970422446728
404, اینجا ,tehran,کریمخان,02188815025,2,09:00:00,22:00:00,کریمخان،خیابان میرزای شیرازی،شماره‌ ۹۳,False,False,False,False,False,False,False,True,4,4,2,4,0,35.71941822709944,51.41584530472755
405, آبتین ,tehran,میدان امام حسین,02109127438417,2,11:00:00,23:00:00,میدان امام حسین،نبشِ چهارراه صفا,False,False,False,False,False,False,False,True,1,3,3,3,0,35.70331458614808,51.45313230562085
406, هومان ,tehran,میرداماد,02122276206,2,09:00:00,23:00:00,میرداماد، خیابان سنجابی،میدان مینا ،پلاک ۳،مجموعه شهرکتاب مینا,False,False,False,False,True,False,False,True,0,0,0,0,0,35.76266435493539,51.4418064057827
407, اِس ,tehran,نارمک,02177955977,2,09:00:00,00:00:00,نارمک،ضلع شرقی میدان نبوت،نبش کوچه فاطمه الزهرا،پلاک۳۳,False,False,False,False,False,False,False,True,0,0,0,0,0,35.72967357519356,51.49401129469723
